mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
32	31	92	92	2.0		1/4	1/4	Chord	3/4	3	2	1/2		1/2	1	246						15	
32	31	91	91	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	247							
32	31	93	93	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	248							
33	32	94	94	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	249	articStaccatoBelow						
33	32	94	94	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	250							
33	32	94	94	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	251							
33	32	95	95	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	252	articStaccatoBelow						
33	32	96	96	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	253						16	
33	32	94	94	1.0		0	0	Chord	3/4	3	2	1/4		1/4	1	254							
33	32	94	94	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""12""/><b><i>f</i></b>"					
33	32	94	94	0.0		0	0	StaffText	3/4	4	1	0						"<font size=""12""/><b><i>f</i></b>"					
33	32	94	94	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	255							
33	32	95	95	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	256	articStaccatoBelow						
33	32	96	96	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	257							
34	33	97	97	0.0		0	0	StaffText	3/4	1	1	0						"<font size=""12""/><b><i>f</i></b>"					
34	33	97	97	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	258	articStaccatoAbove						
34	33	99	99	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	259	articStaccatoAbove						
34	33	97	97	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	260	articStaccatoBelow						
34	33	99	99	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	261	articStaccatoBelow						
34	33	97	97	0.0		0	0	StaffText	3/4	3	1	0						"<font size=""12""/><b><i>f</i></b>"					
34	33	97	97	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	262							
34	33	98	98	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	263							
34	33	97	97	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	264							
34	33	98	98	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	265							
