quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
340	1.0	86	86	0	0	4/4	4	1		1	i(4)	dcml	a	iii		i(4)		i			4				m	1	1	0, -1, 1		0	0
341	1.0	86	86	1/4	1/4	4/4	4	1		1	i(6)	dcml	a	iii		i(6)		i			6				m	1	1	0, -3, -4		0	0
342	1.0	86	86	1/2	1/2	4/4	4	1		1	i	dcml	a	iii		i		i							m	1	1	0, -3, 1		0	0
343	1.0	86	86	3/4	3/4	4/4	4	1		1	v6	dcml	a	iii		v6		v		6					m	1	1	-2, 2, 1		1	-2
344	2.0	87	87	0	0	4/4	4	1		1	viio65(+42)/V	dcml	a	iii		viio65(+42)/V		vii	o	65	+42	V			o7	1	1	3, 0, -3, 1	5	6	3
346	2.0	87	87	1/2	1/2	4/4	4	1		1	Ger6	dcml	a	iii		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
348	1.0	88	88	0	0	4/4	4	1		1	V(64)	dcml	a	iii		V(64)		V			64				M	1	1	1, 0, -3		1	1
349	3.0	88	88	1/4	1/4	4/4	4	1		1	V7	dcml	a	iii		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
352	1.0	89	89	0	0	4/4	4	1		1	V(64)	dcml	a	iii		V(64)		V			64				M	1	1	1, 0, -3		1	1
353	1.0	89	89	1/4	1/4	4/4	4	1		1	I	dcml	a	iii		I		I							M	1	1	0, 4, 1		0	0
354	2.0	89	89	1/2	1/2	4/4	4	1		1	I6	dcml	a	iii		I6		I		6					M	1	1	4, 1, 0		0	4
356	4.0	90	90	0	0	4/4	4	1		1	VI	dcml	a	iii		VI		VI							M	1	1	-4, 0, -3		-4	-4
360	1.0	91	91	0	0	4/4	4	1		1	iv65	dcml	a	iii		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
361	1.0	91	91	1/4	1/4	4/4	4	1		1	V43/V	dcml	a	iii		V43/V		V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
362	1.0	91	91	1/2	1/2	4/4	4	1		1	V(4)	dcml	a	iii		V(4)		V			4				M	1	1	1, 0, 2		1	1
363	1.0	91	91	3/4	3/4	4/4	4	1		1	V	dcml	a	iii		V		V							M	1	1	1, 5, 2		1	1
364	3.0	92	92	0	0	4/4	4	1		1	III.I	dcml	a	III		I		I							M	1	0	0, 4, 1		0	0
367	1.0	92	92	3/4	3/4	4/4	4	1		1	I	dcml	a	III		I		I							M	1	0	0, 4, 1		0	0
368	4.0	93	93	0	0	4/4	4	1		1	I6	dcml	a	III		I6		I		6					M	1	0	4, 1, 0		0	4
372	4.5	94	94	0	0	4/4	4	1		1	I64	dcml	a	III		I64		I		64					M	1	0	1, 0, 4		0	1
753/2	1.5	95	95	1/8	1/8	4/4	4	1		1	I	dcml	a	III		I		I							M	1	0	0, 4, 1		0	0
378	0.5	95	95	1/2	1/2	4/4	4	1		1	I6	dcml	a	III		I6		I		6					M	1	0	4, 1, 0		0	4
757/2	2.0	95	95	5/8	5/8	4/4	4	1		1	ii	dcml	a	III		ii		ii							m	1	0	2, -1, 3		2	2
