quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
83	1.0	21	21	3/4	3/4	4/4	4	1		viio	f	VI		viio		vii	o						o	1	0	5, 2, -1		5	5
84	1.0	22	22	0	0	4/4	4	1		I	f	VI		I		I							M	1	0	0, 4, 1		0	0
85	0.5	22	22	1/4	1/4	4/4	4	1		ii7	f	VI		ii7		ii		7					mm7	1	0	2, -1, 3, 0		2	2
171/2	0.5	22	22	3/8	3/8	4/4	4	1		I6	f	VI		I6		I		6					M	1	0	4, 1, 0		0	4
86	1.0	22	22	1/2	1/2	4/4	4	1		IV	f	VI		IV		IV							M	1	0	-1, 3, 0		-1	-1
87	2.0	22	22	3/4	3/4	4/4	4	1		ii65	f	VI		ii65		ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
89	1.0	23	23	1/4	1/4	4/4	4	1		V(4)	f	VI		V(4)		V			4				M	1	0	1, 0, 2		1	1
90	1.0	23	23	1/2	1/2	4/4	4	1		Fr6	f	VI		Fr6	Fr	V		43	b5	V			Fr	1	0	-4, 0, 2, 6		2	-4
91	1.0	23	23	3/4	3/4	4/4	4	1		V	f	VI		V		V							M	1	0	1, 5, 2		1	1
92	4.0	24	24	0	0	4/4	4	1		I64	f	VI		I64		I		64					M	1	0	1, 0, 4		0	1
96	3.0	25	25	0	0	4/4	4	1		V43	f	VI		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
99	1.0	25	25	3/4	3/4	4/4	4	1		V65	f	VI		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
100	4.0	26	26	0	0	4/4	4	1		I	f	VI		I		I							M	1	0	0, 4, 1		0	0
104	4.0	27	27	0	0	4/4	4	1		V43	f	VI		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
108	4.0	28	28	0	0	4/4	4	1		I6	f	VI		I6		I		6					M	1	0	4, 1, 0		0	4
112	3.0	29	29	0	0	4/4	4	1		V2	f	VI		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
